,0,1,2,3,4,5,6,7
0,breakpoint_environment,high_rate,low_rate,Glenn,environmentalImpact,happynessScore,totalProfittotalScore,
161,50,0.5,0.055,0.3300000000000001,200,-5170,367499.9999999999,362529.9999999999
162,50,0.5,0.055,0.3300000000000001,200,-4527,367499.9999999999,363172.9999999999
163,50,0.5,0.055,0.3300000000000001,200,-5144,367499.9999999999,362555.9999999999
164,50,0.5,0.055,0.3300000000000001,200,-5189,367499.9999999999,362510.9999999999
165,50,0.5,0.055,0.3300000000000001,200,-4363,367499.9999999999,363336.9999999999
166,50,0.5,0.055,0.34000000000000014,200,-4878,367499.9999999999,362821.9999999999
167,50,0.5,0.055,0.34000000000000014,200,-5386,367499.9999999999,362313.9999999999
168,50,0.5,0.055,0.34000000000000014,200,-5233,367499.9999999999,362466.9999999999
169,50,0.5,0.055,0.34000000000000014,200,-4694,367499.9999999999,363005.9999999999
170,50,0.5,0.055,0.34000000000000014,200,-5153,367499.9999999999,362546.9999999999
171,50,0.5,0.055,0.35000000000000014,200,-4946,367499.9999999999,362753.9999999999
172,50,0.5,0.055,0.35000000000000014,200,-4639,367499.9999999999,363060.9999999999
173,50,0.5,0.055,0.35000000000000014,200,-5260,367499.9999999999,362439.9999999999
174,50,0.5,0.055,0.35000000000000014,200,-4671,367499.9999999999,363028.9999999999
175,50,0.5,0.055,0.35000000000000014,200,-5563,367499.9999999999,362136.9999999999
176,50,0.5,0.055,0.36000000000000015,200,-4683,367499.9999999999,363016.9999999999
177,50,0.5,0.055,0.36000000000000015,200,-5049,367499.9999999999,362650.9999999999
178,50,0.5,0.055,0.36000000000000015,200,-5114,367499.9999999999,362585.9999999999
179,50,0.5,0.055,0.36000000000000015,200,-4856,367499.9999999999,362843.9999999999
180,50,0.5,0.055,0.36000000000000015,200,-5140,367499.9999999999,362559.9999999999
181,50,0.5,0.055,0.37000000000000016,200,-4708,367499.9999999999,362991.9999999999
182,50,0.5,0.055,0.37000000000000016,200,-4915,367499.9999999999,362784.9999999999
183,50,0.5,0.055,0.37000000000000016,200,-5311,367499.9999999999,362388.9999999999
184,50,0.5,0.055,0.37000000000000016,200,-4699,367499.9999999999,363000.9999999999
185,50,0.5,0.055,0.37000000000000016,200,-4645,367499.9999999999,363054.9999999999
186,50,0.5,0.055,0.38000000000000017,200,-4739,367499.9999999999,362960.9999999999
187,50,0.5,0.055,0.38000000000000017,200,-4869,367499.9999999999,362830.9999999999
188,50,0.5,0.055,0.38000000000000017,200,-5424,367499.9999999999,362275.9999999999
189,50,0.5,0.055,0.38000000000000017,200,-4651,367499.9999999999,363048.9999999999
190,50,0.5,0.055,0.38000000000000017,200,-4735,367499.9999999999,362964.9999999999
191,50,0.5,0.055,0.3900000000000002,200,-4977,367499.9999999999,362722.9999999999
192,50,0.5,0.055,0.3900000000000002,200,-4834,367499.9999999999,362865.9999999999
193,50,0.5,0.055,0.3900000000000002,200,-4943,367499.9999999999,362756.9999999999
194,50,0.5,0.055,0.3900000000000002,200,-5197,367499.9999999999,362502.9999999999
195,50,0.5,0.055,0.3900000000000002,200,-4626,367499.9999999999,363073.9999999999
196,50,0.5,0.055,0.4000000000000002,200,-4288,367499.9999999999,363411.9999999999
197,50,0.5,0.055,0.4000000000000002,200,-4877,367499.9999999999,362822.9999999999
198,50,0.5,0.055,0.4000000000000002,200,-4484,367499.9999999999,363215.9999999999
199,50,0.5,0.055,0.4000000000000002,200,-5118,367499.9999999999,362581.9999999999
200,50,0.5,0.055,0.4000000000000002,200,-4414,367499.9999999999,363285.9999999999
201,50,0.5,0.055,0.4100000000000002,200,-4742,367499.9999999999,362957.9999999999
202,50,0.5,0.055,0.4100000000000002,200,-4226,367499.9999999999,363473.9999999999
203,50,0.5,0.055,0.4100000000000002,200,-5085,367499.9999999999,362614.9999999999
204,50,0.5,0.055,0.4100000000000002,200,-4757,367499.9999999999,362942.9999999999
205,50,0.5,0.055,0.4100000000000002,200,-5434,367499.9999999999,362265.9999999999
206,50,0.5,0.055,0.4200000000000002,200,-4536,367499.9999999999,363163.9999999999
207,50,0.5,0.055,0.4200000000000002,200,-5166,367499.9999999999,362533.9999999999
208,50,0.5,0.055,0.4200000000000002,200,-4524,367499.9999999999,363175.9999999999
209,50,0.5,0.055,0.4200000000000002,200,-5123,367499.9999999999,362576.9999999999
210,50,0.5,0.055,0.4200000000000002,200,-4208,367499.9999999999,363491.9999999999
211,50,0.5,0.055,0.4300000000000002,200,-4854,367499.9999999999,362845.9999999999
212,50,0.5,0.055,0.4300000000000002,200,-5369,367499.9999999999,362330.9999999999
213,50,0.5,0.055,0.4300000000000002,200,-5267,367499.9999999999,362432.9999999999
214,50,0.5,0.055,0.4300000000000002,200,-5189,367499.9999999999,362510.9999999999
215,50,0.5,0.055,0.4300000000000002,200,-4958,367499.9999999999,362741.9999999999
216,50,0.5,0.055,0.4400000000000002,200,-4939,367499.9999999999,362760.9999999999
217,50,0.5,0.055,0.4400000000000002,200,-5207,367499.9999999999,362492.9999999999
218,50,0.5,0.055,0.4400000000000002,200,-5060,367499.9999999999,362639.9999999999
219,50,0.5,0.055,0.4400000000000002,200,-4948,367499.9999999999,362751.9999999999
220,50,0.5,0.055,0.4400000000000002,200,-5481,367499.9999999999,362218.9999999999
221,50,0.5,0.055,0.45000000000000023,200,-5549,367499.9999999999,362150.9999999999
222,50,0.5,0.055,0.45000000000000023,200,-5285,367499.9999999999,362414.9999999999
223,50,0.5,0.055,0.45000000000000023,200,-3723,367499.9999999999,363976.9999999999
224,50,0.5,0.055,0.45000000000000023,200,-4955,367499.9999999999,362744.9999999999
225,50,0.5,0.055,0.45000000000000023,200,-5556,367499.9999999999,362143.9999999999
226,50,0.5,0.055,0.46000000000000024,200,-4092,367499.9999999999,363607.9999999999
